,dp_id,MJD
0,ADP.2014-09-16T11:06:38.617,53777.14210346
1,ADP.2014-09-17T11:23:40.840,54440.22617605
2,ADP.2014-09-18T12:10:19.833,54780.23726597
3,ADP.2014-09-18T12:11:00.300,54780.22880121
4,ADP.2014-09-18T12:11:40.140,54717.38532544
5,ADP.2014-09-18T12:15:37.860,54717.38710136
6,ADP.2014-09-18T12:13:30.190,54479.1125305
7,ADP.2014-09-18T12:14:54.940,54780.22175819
8,ADP.2014-09-18T12:15:09.077,54780.23021275
9,ADP.2014-09-18T12:16:03.203,54780.22034016
10,ADP.2014-09-18T12:17:42.040,54780.20340719
11,ADP.2014-09-23T11:05:49.213,54878.13943582
12,ADP.2014-09-16T11:05:09.550,53776.12154631
13,ADP.2014-09-16T11:06:49.293,53777.14109884
14,ADP.2014-09-17T11:21:10.613,54442.20494979
15,ADP.2014-09-18T12:15:00.750,54780.23161955
16,ADP.2014-09-23T11:02:37.773,54878.13239835
17,ADP.2014-09-29T13:27:17.943,52991.1865346
18,ADP.2014-09-18T12:16:09.103,54780.21470776
19,ADP.2014-09-23T11:01:13.137,54878.11836485
20,ADP.2014-09-23T11:05:05.260,54878.14118767
21,ADP.2014-09-23T11:06:16.543,54878.13064304
22,ADP.2014-09-29T13:27:03.743,52943.25505297
23,ADP.2014-09-29T13:27:05.433,52984.18269188
24,ADP.2014-09-17T11:23:20.060,54442.20352472
25,ADP.2014-09-18T12:12:41.307,54780.20199993
26,ADP.2014-09-18T12:14:23.053,54780.22739326
27,ADP.2014-09-23T11:02:25.960,54878.13767726
28,ADP.2014-10-01T10:22:42.137,53053.03120125
29,ADP.2014-10-02T10:02:28.043,53462.98926852
30,ADP.2014-09-29T13:26:59.970,52946.35719132
31,ADP.2014-09-29T13:27:01.137,52989.1541281
32,ADP.2014-09-29T13:27:02.067,52991.18830129
33,ADP.2014-09-29T13:27:09.073,52989.15588934
34,ADP.2014-10-01T10:22:00.533,53062.01399092
35,ADP.2014-10-01T10:22:44.817,53048.02913322
36,ADP.2014-09-16T11:06:22.077,53775.10310439
37,ADP.2014-09-16T11:07:10.703,53774.13810041
38,ADP.2014-09-16T11:07:56.970,53774.13722809
39,ADP.2014-09-17T11:19:52.100,54442.20566696
40,ADP.2014-09-17T11:21:18.100,54444.21485641
41,ADP.2014-09-18T12:10:44.653,54780.19917534
42,ADP.2014-09-16T11:03:45.750,53776.12263762
43,ADP.2014-09-17T11:19:54.283,54440.2272415
44,ADP.2014-09-18T12:10:25.830,54483.08550852
45,ADP.2014-09-18T12:10:29.517,54780.21752159
46,ADP.2014-09-18T12:14:06.327,54780.19776669
47,ADP.2014-09-23T11:04:48.203,54878.13415124
48,ADP.2014-10-01T10:22:43.217,53061.04550578
49,ADP.2014-10-01T10:22:47.570,53053.02944857
50,ADP.2014-10-01T10:23:07.550,53052.03716071
51,ADP.2014-10-02T10:00:29.253,53583.43015547
52,ADP.2014-10-02T10:02:23.110,53462.98987923
53,ADP.2014-10-02T10:02:28.150,53583.42876367
54,ADP.2014-09-18T12:09:47.350,54799.18434501
55,ADP.2014-09-18T12:13:46.073,54780.20623676
56,ADP.2014-09-18T12:14:29.293,54717.38443894
57,ADP.2014-09-23T11:03:08.917,54878.13592045
58,ADP.2014-09-23T11:03:39.230,54878.14293152
59,ADP.2014-10-01T10:19:56.737,53033.04453654
60,ADP.2014-09-29T13:27:05.467,52987.21336306
61,ADP.2014-09-29T13:27:12.787,52988.1918211
62,ADP.2014-10-01T10:19:44.523,53031.0325643
63,ADP.2014-10-01T10:20:21.267,53037.01094978
64,ADP.2014-10-01T10:21:09.707,53056.01008586
65,ADP.2014-10-01T10:21:46.403,53066.05191881
66,ADP.2014-10-02T10:02:41.217,53583.42807009
67,ADP.2014-10-06T10:03:54.763,56580.29626539
68,ADP.2014-10-06T10:03:56.787,56580.32179784
69,ADP.2014-10-06T10:04:24.617,56580.33566443
70,ADP.2014-10-06T10:06:38.000,56580.27603443
71,ADP.2014-10-06T10:06:52.340,56580.32926357
72,ADP.2014-10-01T10:22:52.173,53037.01617391
73,ADP.2014-10-01T10:23:04.833,53036.01063718
74,ADP.2014-10-01T10:23:31.967,53051.03804505
75,ADP.2014-10-02T10:00:03.730,53462.99046783
76,ADP.2014-10-06T10:06:50.663,56580.32606882
77,ADP.2014-10-06T10:06:56.133,56580.32392308
78,ADP.2014-09-18T12:11:00.553,54717.38621056
79,ADP.2014-09-18T12:11:54.607,54780.2161082
80,ADP.2014-09-18T12:13:33.830,54780.23303064
81,ADP.2014-09-18T12:17:03.863,54780.21329599
82,ADP.2014-09-23T11:03:23.373,54878.12362628
83,ADP.2014-09-29T13:27:11.533,52942.25985696
84,ADP.2014-10-06T10:04:35.077,56580.28668218
85,ADP.2014-10-06T10:05:11.303,56583.38021793
86,ADP.2014-10-06T10:05:16.457,56569.30383472
87,ADP.2014-10-06T10:07:25.677,56580.28880742
88,ADP.2014-10-07T08:33:40.470,56706.04774736
89,ADP.2014-10-07T08:34:08.930,56694.04984027
90,ADP.2014-09-29T13:27:01.110,52991.18246442
91,ADP.2014-09-29T13:27:13.570,52991.184237
92,ADP.2014-09-29T13:27:22.380,52948.21804634
93,ADP.2014-10-01T10:23:16.913,53048.02738517
94,ADP.2014-10-06T10:03:53.000,56580.33140606
95,ADP.2014-10-06T10:03:56.280,56583.38553653
96,ADP.2014-10-06T10:07:25.377,56580.28242312
97,ADP.2014-10-07T08:33:48.010,56707.10984643
98,ADP.2014-10-07T08:34:10.437,56706.05092522
99,ADP.2014-10-07T08:34:33.087,56706.06371851
100,ADP.2014-10-07T08:34:53.350,56706.04668734
101,ADP.2014-10-07T08:35:00.257,56706.06796553
102,ADP.2014-10-06T10:07:00.040,56580.27709745
103,ADP.2014-10-06T10:07:06.460,56580.32072868
104,ADP.2014-10-06T10:07:46.137,56583.38659609
105,ADP.2014-10-07T08:33:42.370,56706.07114513
106,ADP.2014-10-07T08:33:42.903,56694.06675799
107,ADP.2014-10-07T08:33:44.683,56706.04880738
108,ADP.2014-09-17T11:23:11.827,54444.21377673
109,ADP.2014-09-18T12:09:52.027,54780.22316418
110,ADP.2014-09-18T12:10:09.930,54780.2104729
