Station:;cgr;;;;;;;;;;;;;;;;;;;;;;;
Date range:;[2016-08-01,2021-08-01];;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
date;[Min]TA2;[Avg]TA2;[Max]TA2;[Data%]TA2;[Min]VV5;[Avg]VV5;[Max]VV5;[data%]VV5;[Min]VV10;[Avg]VV10;[Max]VV10;[Data%]VV10;[Min]DV5;[Avg]DV5;[Max]DV5;[data%]DV5;[Min]DV10;[Avg]DV10;[Max]DV10;[data%]DV10;[Min]RS;[Avg]RS;[Max]RS;[data%]RS
2016-08-01;11.21;16.69;22.47;100.00;0.00;1.31;4.92;100.00;0.00;1.66;6.35;100.00;106.20;106.20;106.20;100.00;116.34;116.34;116.34;100.00;0.00;192.53;715.30;100.00
2016-08-02;7.84;11.47;18.93;100.00;0.00;2.14;6.27;100.00;0.00;2.52;6.86;100.00;52.65;52.65;52.65;100.00;60.73;60.73;60.73;100.00;0.00;132.86;855.00;100.00
2016-08-03;6.14;9.86;14.39;100.00;0.00;1.43;4.78;100.00;0.00;1.88;6.53;100.00;165.91;165.91;165.91;100.00;-175.21;184.79;184.79;100.00;0.00;175.22;780.10;100.00
2016-08-04;8.85;13.30;17.48;100.00;0.00;1.77;5.92;100.00;0.00;2.05;6.17;100.00;58.64;58.64;58.64;100.00;-14.02;345.98;345.98;100.00;0.00;196.21;728.70;100.00
2016-08-05;7.82;9.13;12.79;100.00;0.00;1.86;5.43;100.00;0.00;2.21;6.55;100.00;-86.33;273.67;273.67;100.00;-88.17;271.83;271.83;100.00;0.00;66.74;388.30;100.00
2016-08-06;7.21;11.12;17.46;100.00;0.00;1.95;8.49;100.00;0.00;2.34;8.53;100.00;149.33;149.33;149.33;100.00;170.56;170.56;170.56;100.00;0.00;192.83;913.00;100.00
2016-08-07;7.35;9.89;13.62;100.00;0.00;1.52;5.37;100.00;0.00;1.77;6.23;100.00;-108.59;251.41;251.41;100.00;-90.64;269.36;269.36;100.00;0.00;78.89;847.00;100.00
2016-08-08;7.72;11.22;16.96;100.00;0.00;1.14;4.04;100.00;0.00;1.31;4.00;100.00;69.98;69.98;69.98;100.00;85.75;85.75;85.75;100.00;0.00;197.53;895.00;100.00
2016-08-09;6.97;9.87;13.19;100.00;0.00;1.59;4.63;100.00;0.00;1.90;5.29;100.00;139.84;139.84;139.84;100.00;151.26;151.26;151.26;100.00;0.00;128.35;647.60;100.00
2016-08-10;6.92;8.40;9.97;100.00;0.00;1.50;6.92;100.00;0.00;1.67;8.11;100.00;-38.55;321.45;321.45;100.00;-25.34;334.66;334.66;100.00;0.00;50.78;362.80;100.00
2016-08-11;7.49;9.95;15.66;100.00;0.00;1.56;7.78;100.00;0.00;1.80;7.90;100.00;-101.33;258.68;258.68;100.00;-148.15;211.85;211.85;100.00;0.00;141.16;1042.00;100.00
2016-08-12;6.97;9.97;17.40;100.00;0.00;1.91;7.88;100.00;0.00;2.23;8.33;100.00;54.22;54.22;54.22;100.00;75.45;75.45;75.45;100.00;0.00;171.14;852.00;100.00
2016-08-13;7.68;10.11;14.88;100.00;0.00;2.19;8.09;100.00;0.00;2.67;8.02;100.00;66.89;66.89;66.89;100.00;87.02;87.02;87.02;100.00;0.00;156.38;1061.00;100.00
2016-08-14;9.22;15.45;21.73;100.00;0.00;1.48;4.47;100.00;0.00;1.81;6.15;100.00;124.66;124.66;124.66;100.00;139.59;139.59;139.59;100.00;0.00;201.51;739.10;100.00
2016-08-15;15.98;23.63;30.00;100.00;0.00;1.50;5.59;100.00;0.00;2.07;6.92;100.00;157.61;157.61;157.61;100.00;172.63;172.63;172.63;100.00;0.00;210.55;759.90;100.00
2016-08-16;12.03;16.05;21.23;100.00;0.00;1.61;4.76;100.00;0.00;1.84;5.08;100.00;0.52;0.52;0.52;100.00;11.30;11.30;11.30;100.00;0.00;210.86;754.10;100.00
2016-08-17;12.46;16.95;20.73;100.00;0.00;1.42;5.29;100.00;0.00;1.65;4.98;100.00;147.89;147.89;147.89;100.00;167.32;167.32;167.32;100.00;0.00;216.26;784.80;100.00
2016-08-18;13.09;16.68;21.55;100.00;0.00;1.29;5.39;100.00;0.00;1.64;5.43;100.00;156.80;156.80;156.80;100.00;-178.61;181.39;181.39;100.00;0.00;221.71;807.00;100.00
2016-08-19;7.91;12.00;15.84;100.00;0.00;2.27;8.04;100.00;0.00;2.44;8.11;100.00;-15.22;344.78;344.78;100.00;-2.64;357.36;357.36;100.00;0.00;218.68;823.00;100.00
2016-08-20;6.86;12.11;17.43;100.00;0.00;1.41;6.21;100.00;0.00;1.62;6.59;100.00;168.38;168.38;168.38;100.00;-170.45;189.55;189.55;100.00;0.00;217.75;791.90;100.00
