Station:;lsc;;;;;;;;;;;
Date range:;[2016-08-01,2021-08-01];;;;;;;;;;;
;;;;;;;;;;;;
date;[Min]VV;[Avg]VV;[Max]VV;[data%]VV;[Min]DV;[Avg]DV;[Max]DV;[data%]DV;[Min]RS2;[Avg]RS2;[Max]RS2;[data%]RS2
2016-08-01;0.00;1.28;4.32;100.00;-155.92;204.08;204.08;100.00;0.00;189.19;705.00;100.00
2016-08-02;0.00;1.38;7.03;100.00;-61.51;298.49;298.49;100.00;0.00;74.81;822.00;100.00
2016-08-03;0.00;1.37;4.85;100.00;123.42;123.42;123.42;100.00;0.00;152.75;919.00;100.00
2016-08-04;0.00;1.20;5.88;100.00;14.97;14.97;14.97;100.00;0.00;188.56;739.90;100.00
2016-08-05;0.00;1.67;4.68;100.00;97.96;97.96;97.96;100.00;0.00;71.75;427.00;100.00
2016-08-06;0.00;1.60;5.95;100.00;84.61;84.61;84.61;100.00;0.00;188.55;726.70;100.00
2016-08-07;0.00;1.41;4.67;100.00;127.00;127.00;127.00;100.00;0.00;89.68;932.00;100.00
2016-08-08;0.00;1.34;4.93;100.00;90.94;90.94;90.94;100.00;0.00;102.78;939.00;100.00
2016-08-09;0.00;1.23;4.92;100.00;-104.94;255.06;255.06;100.00;0.00;55.90;551.20;100.00
2016-08-10;0.00;1.11;4.96;100.00;-44.32;315.68;315.68;100.00;0.00;57.21;305.80;100.00
2016-08-11;0.00;1.36;5.70;100.00;-113.01;246.99;246.99;100.00;0.00;156.25;1015.00;100.00
2016-08-12;0.00;1.18;4.74;100.00;-34.87;325.13;325.13;100.00;0.00;94.45;967.00;100.00
2016-08-13;0.00;1.47;6.03;100.00;-75.15;284.85;284.85;100.00;0.00;181.98;968.00;100.00
2016-08-14;0.00;1.34;8.03;100.00;-99.59;260.41;260.41;100.00;0.00;132.80;950.00;100.00
2016-08-15;0.00;1.47;7.02;100.00;17.14;17.14;17.14;100.00;0.00;208.78;756.20;100.00
2016-08-16;0.00;1.37;5.07;100.00;-38.51;321.49;321.49;100.00;0.00;182.78;872.00;100.00
2016-08-17;0.00;1.40;5.37;100.00;38.28;38.28;38.28;100.00;0.00;212.38;768.70;100.00
2016-08-18;0.00;1.69;6.24;100.00;47.18;47.18;47.18;100.00;0.00;217.61;791.50;100.00
2016-08-19;0.00;1.87;6.35;100.00;28.17;28.17;28.17;100.00;0.00;214.41;794.40;100.00
2016-08-20;0.00;1.85;6.00;100.00;55.17;55.17;55.17;100.00;0.00;215.62;787.20;100.00
2016-08-21;0.00;1.47;7.62;100.00;-133.88;226.13;226.13;100.00;0.00;222.67;797.30;100.00
2016-08-22;0.00;1.46;5.31;100.00;-126.53;233.47;233.47;100.00;0.00;115.43;1008.00;100.00
2016-08-23;0.00;1.31;5.96;100.00;15.95;15.95;15.95;100.00;0.00;113.56;979.00;100.00
2016-08-24;0.00;1.64;6.26;100.00;84.15;84.15;84.15;100.00;0.00;169.33;998.00;100.00
2016-08-25;0.00;2.19;5.96;100.00;44.98;44.98;44.98;100.00;0.00;224.85;800.00;100.00
2016-08-26;0.00;1.36;5.57;100.00;1.90;1.90;1.90;100.00;0.00;122.62;1099.00;100.00
2016-08-27;0.00;1.30;5.67;100.00;-37.38;322.62;322.62;100.00;0.00;115.25;957.00;100.00
2016-08-28;0.00;1.83;7.52;100.00;-15.02;344.98;344.98;100.00;0.00;157.13;998.00;100.00
