Station:;rmr;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date range:;[2016-08-01,2021-08-01];;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
date;[Min]29;[Avg]29;[Max]29;[data%]29;[Min]26;[Avg]26;[Max]26;[data%]26;[Min]VV5;[Avg]VV5;[Max]VV5;[data%]VV5;[Min]27;[Avg]27;[Max]27;[data%]27;[Min]DV5;[Avg]DV5;[Max]DV5;[data%]DV5;[Min]RS2;[Avg]RS2;[Max]RS2;[data%]RS2;[Min]28;[Avg]28;[Max]28;[data%] 28
2016-08-01;7.32;13.64;21.25;100.00;0.00;1.22;4.21;100.00;0.00;1.43;4.90;100.00;-47.66;312.34;312.34;100.00;-57.99;302.01;302.01;100.00;0.00;183.78;704.20;100.00;0.00;171.53;663.80;100.00
2016-08-02;6.28;10.61;15.32;100.00;0.00;1.45;4.96;100.00;0.00;1.65;5.16;100.00;-62.18;297.82;297.82;100.00;-62.98;297.02;297.02;100.00;0.00;175.82;830.00;100.00;0.00;162.30;682.10;100.00
2016-08-03;8.93;10.98;14.48;100.00;0.00;1.23;5.19;100.00;0.00;1.37;5.21;100.00;-45.45;314.55;314.55;100.00;-46.06;313.94;313.94;100.00;0.00;162.14;731.30;100.00;0.00;150.23;666.30;100.00
2016-08-04;5.31;11.63;18.45;100.00;0.00;1.46;6.19;100.00;0.00;1.70;6.96;100.00;-26.29;333.71;333.71;100.00;-26.92;333.08;333.08;100.00;0.00;186.65;708.20;100.00;0.00;173.89;660.40;100.00
2016-08-05;8.69;11.69;15.67;100.00;0.00;1.76;5.78;100.00;0.00;2.05;7.35;100.00;-24.91;335.09;335.09;100.00;-21.81;338.19;338.19;100.00;0.00;98.62;988.00;100.00;0.00;90.77;893.00;100.00
2016-08-06;6.51;12.14;17.55;100.00;0.00;1.46;6.76;100.00;0.00;1.69;7.41;100.00;-27.30;332.70;332.70;100.00;-29.40;330.60;330.60;100.00;0.00;186.84;709.60;100.00;0.00;174.86;662.40;100.00
2016-08-07;7.15;11.37;15.96;100.00;0.00;1.48;5.33;100.00;0.00;1.72;5.63;100.00;-6.23;353.77;353.77;100.00;-0.01;359.99;359.99;100.00;0.00;137.56;918.00;100.00;0.00;128.74;768.00;100.00
2016-08-08;7.59;11.36;17.67;100.00;0.00;1.26;5.47;100.00;0.00;1.48;4.61;100.00;19.36;19.36;19.36;100.00;22.43;22.43;22.43;100.00;0.00;154.91;766.10;100.00;0.00;144.11;663.70;100.00
2016-08-09;8.12;10.59;14.34;100.00;0.00;1.20;5.63;100.00;0.00;1.36;5.78;100.00;174.90;174.90;174.90;100.00;177.36;177.36;177.36;100.00;0.00;128.07;896.00;100.00;0.00;118.37;738.90;100.00
2016-08-10;9.30;11.05;13.86;100.00;0.00;1.49;7.13;100.00;0.00;1.73;6.88;100.00;132.38;132.38;132.38;100.00;121.42;121.42;121.42;100.00;0.00;70.56;958.00;100.00;0.00;65.17;521.50;100.00
2016-08-11;9.54;12.10;15.66;100.00;0.00;1.40;6.15;100.00;0.00;1.63;6.39;100.00;-140.57;219.44;219.44;100.00;-147.22;212.78;212.78;100.00;0.00;172.30;982.00;100.00;0.00;161.46;813.00;100.00
2016-08-12;6.05;10.50;15.59;100.00;0.00;1.27;6.12;100.00;0.00;1.44;7.06;100.00;-51.65;308.35;308.35;100.00;-55.56;304.44;304.44;100.00;0.00;131.29;857.00;100.00;0.00;121.27;748.20;100.00
2016-08-13;9.47;12.64;17.62;100.00;0.00;1.86;7.86;100.00;0.00;2.14;8.49;100.00;-26.84;333.16;333.16;100.00;-29.28;330.72;330.72;100.00;0.00;181.10;1002.00;100.00;0.00;169.01;812.00;100.00
2016-08-14;8.06;12.62;18.24;100.00;0.00;1.30;6.61;100.00;0.00;1.53;7.68;100.00;-101.67;258.33;258.33;100.00;-111.21;248.79;248.79;100.00;0.00;190.77;727.00;100.00;0.00;179.28;681.30;100.00
2016-08-15;9.77;17.38;27.87;100.00;0.00;1.44;5.10;100.00;0.00;1.74;5.76;100.00;-69.20;290.80;290.80;100.00;-79.86;280.15;280.15;100.00;0.00;203.51;750.10;100.00;0.00;194.55;718.80;100.00
2016-08-16;7.48;12.58;22.10;100.00;0.00;1.30;5.41;100.00;0.00;1.52;6.02;100.00;-142.89;217.11;217.11;100.00;-140.74;219.26;219.26;100.00;0.00;196.70;739.60;100.00;0.00;183.68;698.20;100.00
2016-08-17;7.36;13.67;22.80;100.00;0.00;1.49;5.86;100.00;0.00;1.73;6.59;100.00;-46.60;313.40;313.40;100.00;-46.52;313.48;313.48;100.00;0.00;207.88;759.00;100.00;0.00;195.80;713.90;100.00
2016-08-18;6.55;13.51;21.10;100.00;0.00;1.61;7.80;100.00;0.00;1.86;9.07;100.00;-16.06;343.94;343.94;100.00;-19.05;340.96;340.96;100.00;0.00;218.08;802.00;100.00;0.00;203.80;745.10;100.00
2016-08-19;5.11;11.23;17.08;100.00;0.00;1.94;5.80;100.00;0.00;2.26;6.74;100.00;-44.04;315.96;315.96;100.00;-45.87;314.13;314.13;100.00;0.00;216.18;809.00;100.00;0.00;200.11;737.40;100.00
2016-08-20;4.94;11.65;18.88;100.00;0.00;1.79;5.68;100.00;0.00;2.12;6.06;100.00;-3.65;356.35;356.35;100.00;-11.71;348.29;348.29;100.00;0.00;219.49;805.00;100.00;0.00;204.23;746.50;100.00
2016-08-21;5.54;14.04;23.17;100.00;0.00;1.61;10.66;100.00;0.00;1.84;12.17;100.00;-76.16;283.84;283.84;100.00;-83.70;276.30;276.30;100.00;0.00;223.31;804.00;100.00;0.00;208.44;748.60;100.00
2016-08-22;7.86;12.23;16.82;100.00;0.00;1.25;8.49;100.00;0.00;1.40;9.09;100.00;-72.43;287.57;287.57;100.00;-77.26;282.74;282.74;100.00;0.00;170.27;1094.00;100.00;0.00;157.29;959.00;100.00
